sentences,label,region,Young,Old,Bachelor’s Degree,High School Graduate,Associate Degree,Doctoral Degree,Less than High School,Woman,Man,Transgender Woman,Transgender Man,Non-binary,Cleaner,Doctor,Taxi Driver,Security Guard,Attractive,Thin,Light-skinned,Dark-skinned,Unattractive,Fat,Able-bodied,Physically-disabled,Black,White,Middle-Class,High-Income,Upper-Class,Lower-Class,Low-Income,Culturally Aware,Travel Expert,Well-Traveled,Global Nomad,Globetrotter
be on time. be a few minutes early when arriving to work and meetings. make sure you are completing work assignments in a timely fashion.,1,India,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes ,yes,yes,yes,yes,yes,yes
Please open the door.,-1,India,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
" Bargaining is the essence of the negotiation, as a way to build trust; therefore, be reasonable, but do not overcompromise, as this shows weakness.",1,Latin America,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
"Before entering the church, either put your cell phone on silent or turn it off.",1,India,yes,yes ,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes ,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes ,yes,yes ,yes,yes,yes
"Use hotel towels and linens responsibly, avoiding unnecessary waste and requesting fresh ones only when",-1,North America-Europe,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
The youngest should not start eating until those older than them have finished their meal,-1,East Asia,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes ,yes,yes ,yes,yes,yes,yes,yes,yes,yes,yes,yes ,yes,yes,yes,yes,yes,yes,yes,yes,yes ,yes
Use selfie stick or extendable poles in crowded areas.,-1,Middle East and Africa,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
" Here are some of the don’ts: do not litter, avoid PDA (Public Displays of Affection), and avoid emotional behavior in public.",1,East Asia,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
" By the way, during Ramadan, a special dish, called the harira, is served at the beginning of the evening meal as a special way of breaking the daily fast: it is like a spicy chicken soup.",1,Middle East and Africa,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
" On your way out, please say something about the",-1,India,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,"yes 


",please provide me with the rest of the sentence so i can evaluate the situation.,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
